"",gene_symbol,GSM2114345,GSM2114346,GSM2114347,GSM2114348,GSM2114349,GSM2114350,GSM2114351,GSM2114352,GSM2114353,GSM2114354,GSM2114355,GSM2114356,GSM2114357,GSM2114358,GSM2114359,GSM2114360
ENSG00000235452,LY6G6C,6.0537,0,0,8.9773,9.9759,7.9213,45.9557,10.2029,9.655,0,21.8866,6.1017,33.0861,5.2765,3.4411,11.7336
ENSG00000235453,TOPORS-AS1,261.6944,197.6142,188.5404,206.0006,245.4761,340.0431,242.5317,269.2734,239.9499,192.9095,151.7552,318.0552,303.1057,201.2962,232.8861,252.5742
ENSG00000235455,IQCF5-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235470,NEURL1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235475,LINC01372,13.483,9.588,8.2843,11.2716,17.5624,13.3916,6.9121,15.0873,12.8958,7.5102,4.9624,5.7614,10.9312,6.5729,6.4582,10.6399
ENSG00000235478,LOC100996342,10.5323,1.3668,22.6514,6.9643,5.7812,9.1463,28.7767,8.2658,16.9952,1.7846,8.7738,6.4038,19.3024,21.9267,12.7064,3.6553
ENSG00000235480,LOC105373496,0,0.9637,0,0,0,0,2.0991,0,0.9977,0.9786,0,0,1.9832,1.0043,0,0
ENSG00000235487,PSORS1C1,1.0105,0,0,0,0,1.0663,0,2.2525,0,0,0,0,0,0,0,0
ENSG00000235488,JARID2-AS1,11.7652,14.4973,3.9339,15.6762,13.7165,14.464,9.4412,16.2361,10.9924,5.8841,12.535,10.9341,15.897,6.0422,3.1591,8.1344
ENSG00000235492,LINC01221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235501,LOC729970,0,0,3.1085,0.6972,2.3201,0,0,0,0.6946,2.0594,4.5699,2.3496,0,2.3818,0,2.1122
ENSG00000235505,LOC643733,371.3493,217.9291,140.0823,239.8298,358.2978,375.5728,151.9703,297.9452,264.9181,243.1977,197.1019,229.5501,258.0713,220.2366,333.1485,210.3649
ENSG00000235527,HIPK1-AS1,14.5461,30.5442,15.4761,5.2905,17.5848,8.8126,9.1619,13.7145,10.0384,6.6491,10.5772,6.1177,12.5104,9.2237,4.7192,9.2956
ENSG00000235529,AGAP1-IT1,0,0,0,0,0.9978,0,0,1.0241,0,0,0,1.0123,0,0,0,0
ENSG00000235531,MSC-AS1,80.4045,57.0557,51.6037,18.1602,36.1489,42.4316,27.3054,121.4319,43.9288,28.2593,53.2044,48.8887,81.0643,9.3106,45.2025,38.6652
ENSG00000235540,PSMB8-AS1,434.429,78.9461,395.5104,261.3636,392.292,169.3433,403.9628,401.9391,325.9976,128.8245,219.5008,357.8638,402.322,409.4232,217.1728,116.2252
ENSG00000235568,NFAM1,9415.9368,2332.6482,14324.695,7538.3816,12588.4968,14237.7705,12345.2751,16922.8289,10739.7772,7453.5638,7812.5884,15967.6021,14479.7913,8482.3718,7183.702,6568.534
ENSG00000235569,MSH5,59.3539,113.3315,51.7475,43.6996,76.8485,63.6761,46.8695,42.5879,52.4822,54.2174,33.4419,26.9805,152.1607,29.8811,63.0686,35.3271
ENSG00000235570,LINC00533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235588,AIF1,526.1131,305.837,302.7436,489.9305,885.8443,1321.4844,678.823,1352.0684,589.8349,392.1693,528.5405,727.8966,701.785,669.1267,626.0826,647.6431
ENSG00000235589,ZNF311,0,0,1.536,0,0.9134,0,0.5289,0,0,0,0,0,0.6857,0.3513,0,0
ENSG00000235590,GNAS-AS1,11.6798,12.239,2.7392,2.6761,13.3601,3.1991,5.7729,7.4219,5.7162,22.0021,10.2661,5.3544,11.8245,2.5614,6.7692,11.3098
ENSG00000235593,RBMS3-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235597,LINC01102,73.7103,18.51,39.355,38.857,83.9152,68.8503,70.8762,84.3759,58.5228,47.132,74.8277,54.3149,86.0052,20.1923,51.8447,48.5787
ENSG00000235602,POU5F1P3,50.8642,25.3291,152.3148,53.6996,106.9508,99.4789,73.7128,223.8136,147.0876,166.0668,41.0973,89.7906,116.393,77.9808,39.0979,68.6187
ENSG00000235608,NKX1-1,1.9667,0,0,0,0,0,0.9948,0,0,0,0,0,0.9923,0,0,0
ENSG00000235618,FAM21EP,15.0357,21.1348,10.1497,12.4482,7.6761,8.3703,2.8837,5.3042,14.2808,8.509,8.741,2.0726,11.9598,5.313,15.2106,1.9396
