,ACTB,AKT1,CD36,CD44,IL6,INS,PTPRC,TFRC,TNF,label
90,156660.2685,3757.3678,6.0624,7479.6906,0.0,0.0,21807.7039,15333.2162,22.5796,0
91,155018.7805,3671.4634,10.5117,8617.3386,2.9657,0.0,29596.3661,15784.9233,27.9485,0
92,246947.5453,3622.0924,36.7584,16286.4007,0.0,0.0,40002.727,3548.2721,75.4625,4
93,131917.598,2235.468,132.9824,14467.6915,0.0,0.0,32317.8748,1676.4848,30.7155,4
94,171650.8614,2919.8983,7.1774,12190.4388,0.0,0.0,29383.4827,2331.3312,78.583,4
95,160961.1467,1419.9779,938.552,9466.3308,0.9835,0.0,28249.0172,1098.8546,45.7731,4
96,331426.505,3555.4662,16.182,14544.3096,0.0,0.0,38729.9012,4586.9919,44.1451,4
97,127084.5689,1613.7202,42.6553,10802.8134,0.0,0.0,27639.3054,1830.1159,36.6123,4
98,153716.492,2531.0877,11.1042,12560.0251,0.0,0.0,26813.4456,2850.8754,58.0005,4
99,211389.3454,2427.2136,30.2559,15646.9864,0.0,0.0,41213.3923,1763.2367,61.5617,4
100,125433.6557,2976.783,7.5185,15911.8226,0.0,0.0,27156.7399,2295.9857,39.5718,4
101,93673.1611,1877.8123,7.0215,13895.3839,0.0,0.0,24964.3957,1643.961,16.1487,4
102,136842.8994,2906.7327,19.2174,16656.6845,0.0,0.0,27780.7886,1906.309,41.9997,4
103,181828.1032,2092.8988,25.7643,14149.0028,0.0,0.0,35242.1865,1115.4078,37.5775,4
104,152863.9552,3275.4374,9.0474,14293.4196,0.0,0.0,24011.0452,2860.2538,78.5508,4
105,97869.2812,2724.5519,275.6935,11344.218,0.0,0.0,22724.9604,1775.7455,30.5718,4
106,104040.6385,2986.5187,38.3529,11965.1782,0.0,0.0,21496.405,2270.1944,53.5533,4
107,166605.422,2496.5387,76.8506,14683.4671,0.0,0.0,37283.7432,1601.9934,30.702,4
108,271893.2033,2793.6834,40.0292,7142.4575,0.0,0.0,16930.8375,1657.8415,24.1789,4
109,154074.8891,2977.726,7546.8407,9907.0079,1.0769,0.0,19816.4435,3208.0244,20.2988,4
110,182342.2204,3485.0366,16.4907,13793.861,0.0,0.0,27581.717,3466.8012,68.3701,4
111,207056.9205,3320.1032,56.2335,18944.5835,0.0,0.0,42327.2139,2054.8354,72.0689,4
