,0
RPN1,0.005262356001486438
LOC100506098,0.005112939783756639
TTC39C-AS1,0.005061224489795918
TCL1B,0.004981433362818814
ATG4A,0.004945265348595215
NOL10,0.004863970588235294
CYB5D1,0.004852889046437433
CDC20B,0.004852889046437433
LINC02024,0.004845378585580154
AQP9,0.00481704260651629
YOD1,0.004789473684210527
SHPRH,0.004781306505444436
GGT1,0.004743001854112966
IER5L,0.004736986697513012
TMEM141,0.004714328617462522
CDKL2,0.004711538461538461
LRRC31,0.004664902998236331
LINC01909,0.00462087912087912
GASK1A,0.0046018477247862545
SPAG9,0.004597501487209994
BDH1,0.004585726004922068
PRODH,0.004585726004922068
C14orf28,0.004564751110136506
CAPN12,0.0045
ANKRD22,0.004028931023210198
PIK3CB,0.004014010949826098
APOL1,0.004011111111111111
ACADSB,0.003961176030141549
NECTIN4,0.0036792209356342805
PAPPA2,0.0036666666666666675
MID2,0.00335324125917631
LOC105372988,0.003110461401315975
GADD45G,0.003082297104888467
RHOU,0.003076923076923077
THCAT158,0.0030739255105857277
LOC102723566,0.0030579150579150578
CGB8,0.002972090831340652
ZNF114,0.0028868778280542995
JAK1,0.0028840702947845816
RDH13,0.0028517177322642077
CERS6-AS1,0.002848373983739837
MIB2,0.0028378171073380593
ABCA7,0.0028373015873015862
LOC105371046,0.0027854938271604946
EDNRB,0.002762118261938923
CST6,0.002710402710402709
NABP1,0.0026740237691001687
SIGLEC6,0.002670796592810932
HEYL,0.002670401493930905
ST6GALNAC3,0.0026115859449192787
RPSAP61,0.0025917658730158733
CAB39P1,0.002583937820344439
ZNF827,0.002580645161290322
GDPD3,0.002575609756097561
OIP5,0.002549235993208828
LOXL2,0.0024882833880678704
COL17A1,0.0024743348756506656
LEP,0.0024107142857142856
LINC-PINT,0.002397918269152087
TAOK2,0.002384734830387005
LINC02535,0.002383507439062994
TRIML2,0.0023571428571428563
SRP68P3,0.0023469149778852054
MEIG1,0.002346666666666666
RYR3,0.0023446381205001897
LRRC4,0.0023021206324291624
PRKD3,0.0022905930564273715
TFAP4,0.0022859970311726865
MFAP5,0.0022709677419354827
LINC01088,0.002215638762494746
ALDH1A3,0.0022003890862903356
RGS11,0.0021874999999999993
SLC6A8,0.0021801801801801805
CGB3,0.0021774146905725873
GAP43,0.002172839506172839
FGF22,0.002171089291449332
TMPRSS11D,0.0021710526315789473
ADORA2A-AS1,0.002156862745098039
IGLV8-61,0.0021486913624010396
ZNF418,0.0021323392357875115
ZNF367,0.0020958889924407166
TRAPPC10,0.0020952380952380958
LINC02714,0.0020688657407407413
C4A,0.0020394620811287484
MEF2A,0.0020394620811287484
SLC45A3,0.0020340236686390537
FAM66B,0.0020340236686390532
ASZ1,0.002013764427557531
ABCA8,0.002006180536730821
TREML1,0.002000648788927335
CDK7,0.001974760756812038
CSF2RB,0.0019742466480817734
EPS8,0.001962214038094797
B3GALNT2,0.0019540214065173808
CSNK2B,0.0019373925008599935
YKT6,0.001925366300366301
ZFY-AS1,0.0019097222222222222
